Date,SP500,Tech_Giants,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA
2012-05-18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2012-05-21,101.60359012376676,97.87729642445558,105.82604372154299,101.63991253581226,102.28347841581005,101.9920532641259,89.01385421394782,101.7384074509173,104.39044095291496
2012-05-22,101.65300371087274,94.56877075052013,105.01340911256082,101.67406081574224,100.0666199611145,100.69207722973601,81.08814909657409,100.49664171654807,111.75617508353196
2012-05-23,101.82517372980315,95.73080736355334,107.57568245101467,99.45335702346347,101.50899580378608,101.60392989626467,83.70389211718489,102.9801408966867,112.5544535903133
2012-05-24,101.96569567978413,96.23765435432833,106.5877530205202,99.31667373785793,100.5429808035579,100.64998801719494,86.39809613364493,100.24832085827404,109.86941519397098
2012-05-25,101.74487547267117,94.65937781309202,106.01643507361717,99.28252545792795,98.52265251235352,99.55108407594467,83.46847399035558,102.64893520269976,108.16401263739837
2012-05-29,102.87210466821269,92.69667706073996,107.8981054933325,100.99075914429622,98.99067307762363,100.42085644902794,75.43812911236267,105.29797803406555,114.98553202930628
2012-05-30,101.39744414040433,91.61889515133961,109.19906909924255,100.23914451919286,97.97301866010795,97.8396077239012,73.73789991388868,104.05628763976256,110.34107921368049
2012-05-31,101.16659607582794,92.73985094163825,108.9275713669297,99.72669900397845,96.74550241765782,99.56044020731902,77.42610384782161,102.89732063817341,107.03922994243824
2012-06-01,98.67358965818767,89.36598803359786,105.77131729939495,97.198496754356,95.09993697179043,97.3673148500535,72.50849692927858,99.17217411519819,102.14082365763329
2012-06-04,98.68439976393066,89.21955615259115,106.3935125927428,97.54013529473097,96.36740985246848,100.3366869430415,70.36358012253167,97.10263631036017,101.16114240067229
2012-06-05,99.24955058422637,87.92235437021245,106.11829768451717,97.40348479672019,95.00499841438868,99.70071974426456,67.66936606627691,99.91723355581973,101.26999443185234
2012-06-06,101.53719326678379,90.2383744659993,107.74537752687775,100.27329279912287,96.69721189327359,101.77226890823758,70.12816199570237,102.56621180998589,106.02324088512655
2012-06-07,101.52638316104078,89.6516425024712,107.79440827625619,99.86334130509053,96.30745572207563,102.31470155055801,68.82028797544828,98.42712543744327,104.971008909166
2012-06-08,102.35018484621092,91.07976052311086,109.4159363365277,101.2982576016399,96.67721440110866,102.16506588223815,70.88673876644857,100.33111959105412,109.14368740618916
2012-06-11,101.05851386775404,89.72904579514184,107.69073504095998,98.73589067829009,94.68687276162619,101.2391834781958,70.65131561972188,101.49004354117683,105.66038347940582
2012-06-12,102.235920049325,90.49218276214555,108.63154027359255,100.06832115055605,94.120583919102,101.20177679088975,71.67145414278576,103.55957058314826,107.61973950515764
2012-06-13,101.51789152610232,89.9576257984045,107.8773852353413,99.5216781740195,93.4527034704884,100.4115003176536,71.33141633492674,100.8277720704688,108.01890471122906
2012-06-14,102.61577227414278,90.97605060335468,107.75861546948322,100.23914451919286,93.11292505216029,100.28056799298675,73.99947672589843,99.58604938756598,106.64005824819665
2012-06-15,103.67659518802328,93.54931159022098,108.24885101792765,102.5623751202485,94.02230925083093,102.10427332604407,78.49855472134901,101.7384074509173,108.52687004311908
2012-06-18,103.82638159654422,95.55308447181342,110.44535424656472,101.9473618117638,95.07827781520784,104.11971245905801,82.16059997010149,102.64893520269976,115.52979867337683
2012-06-19,104.84550973465574,97.07774062041673,110.75268075832068,104.88554834301334,96.85709596533819,104.7603443448786,83.46847399035558,109.60260805783535,116.43687081780661
2012-06-20,104.66870277411628,96.87919303152619,110.4378119767288,105.671303051148,96.18754107027294,104.28805147103091,82.65759490894057,111.34102627161924,122.56897022228341
2012-06-21,102.33860191686641,95.75458353039451,108.9162519667308,102.97229382668608,94.1389005737983,103.14238471110025,83.28537323388716,106.2913475700945,116.79972822352734
2012-06-22,103.07284088636459,97.78157011543549,109.7515133852207,104.88554834301334,95.18321192318355,103.88589836565598,86.4504335835953,107.615825934311,122.60526504629374
2012-06-25,101.42832881043033,95.48345983933262,107.61534831527095,102.04983124224982,93.38774517379156,102.90857953679391,83.86084422826758,104.2218312909897,120.13789178329044
2012-06-26,101.9124179746706,96.88460135086154,107.85288784698712,102.5623751202485,94.05062784711818,105.49918439329502,86.58122198960018,105.38078752971222,114.69521236624476
2012-06-27,102.82809142163917,96.38573436273846,108.31855406173713,103.07481243856425,94.82011907487217,105.50385799943436,84.30549167736156,108.77480369876673,115.9652067980971
2012-06-28,102.6111447572118,94.85217974098016,107.29099473965648,102.18652272475404,93.98899927027368,103.48842778551608,82.0298115640966,109.60260805783535,113.96954946016477
2012-06-29,105.16823898570861,96.26260576226268,110.10976520698166,104.50972053821492,96.6139241598465,106.78044816493619,81.34972088868648,114.40392284961962,113.53412835910413
2012-07-02,105.42688042590498,96.1618674833764,111.7161487731311,104.40725110772888,96.68054412096099,107.23403769513087,80.48651941701321,111.34102627161924,110.30483629503163
2012-07-03,106.08391243267717,97.12637608960992,113.0152058275246,105.09051999158015,97.90639230797646,107.33223693863101,81.61129770069626,114.23842224985887,111.24820326347174
2012-07-05,105.58669469188938,97.74488106982737,115.00058545520626,104.88554834301334,99.25382959324628,106.17722296642165,82.31754706128682,113.07948753686954,113.316424296744
2012-07-06,104.59073241246688,97.13639508598285,114.23509902586608,103.14314998291766,97.59826220578793,105.23731082486563,82.99763773669694,110.92716176211806,112.44559507096305
2012-07-09,104.41932579245992,97.66683119142317,115.74532764477516,102.49399659140165,97.60326637209191,105.23731082486563,84.14855964586833,109.43706440660819,114.25980424152446
2012-07-10,103.57082202607582,96.25481974385389,114.67439727341548,101.60571507449015,96.88540817060846,102.64204128132086,82.31754706128682,106.12579315600075,113.46157764010458
2012-07-11,103.56927637887281,95.04736155552035,113.96167076025661,100.10246123358735,95.13490222574836,102.1136294574184,81.00967304103274,104.38736417935026,114.3324068658855
2012-07-12,103.05276632208158,94.1406746292469,112.91906287117426,97.81346907834727,95.01665562938032,100.70609804815402,80.59115415773502,102.64893520269976,118.65024519443944
2012-07-13,104.7528651492558,95.19442371485646,114.0635333711566,100.40992690333627,96.02265283190437,102.12298558879276,80.35573101100833,103.97348890698245,124.27432087349457
2012-07-16,104.51043415533489,92.90579673405918,114.42926750830324,100.58079945336522,95.7561538143954,101.0100519100288,73.89484198517664,104.30456544657017,130.47895802063056
2012-07-17,105.28482225339906,92.83762579017693,114.43493919929273,101.33240588156988,96.05763086789626,101.4402644904311,73.47631808198155,102.40062510729233,121.00870803273101
2012-07-18,105.98817655287122,94.44331504937993,114.30675658475229,104.0314151060318,96.7288474273792,101.69277300839046,76.14438349285061,108.1125968052583,116.65457488016675
2012-07-19,106.27615701589058,95.45282240322047,115.82643402501385,104.78302153423648,98.77748792385384,105.76104904262873,75.85665301555777,109.18868973400113,117.08999598122737
2012-07-20,105.2068424670716,95.0051690735227,113.9371973536825,102.90398906992742,101.73551901001613,106.7523976090045,75.2288696707138,106.04301594895387,115.34833752966553
2012-07-23,104.26954880861703,94.28000432323489,113.84857268538799,100.0341400830313,102.51665467072777,105.68622674892094,75.20271098553336,107.45026075735062,111.24820326347174
2012-07-24,103.32685480962998,93.4292007686366,113.29989353888277,99.58999932457556,101.1941998708759,104.29740760240527,74.41799560919617,106.2913475700945,108.27286466857842
2012-07-25,103.29442449240098,92.96134918475254,108.40721470270176,98.49671337150247,101.2641623338767,101.49637452139018,76.74600313261676,108.36091766353233,105.04355962816557
2012-07-26,105.00301495451367,91.067249817886,108.39027157507356,99.62416399830292,102.15856598872037,102.88052006176652,70.23279673642416,108.8575809058136,102.06821454510207
2012-07-27,107.0065318673812,90.2726201567657,110.32845505955306,101.67406081574224,105.75615253619202,110.97498291770198,62.01934608206548,111.58937941849307,107.07547286108712
2012-07-30,106.95480923414877,89.6710901615048,112.18939323038714,101.2640601403178,105.31312084735683,110.39980827511914,60.55452999052344,110.34765673559026,99.23802929356933
2012-07-31,106.49310368031794,88.51958523372134,115.15514802783733,100.68328527764862,105.4247143950372,109.09515863458992,56.78785502094652,112.08606418650757,99.49203466810998
2012-08-01,106.18427582941408,87.43263040948639,114.41041782915849,100.47828084148706,105.37642387065299,108.52934012338142,54.61679458871127,110.84429845213835,95.2467535467258
2012-08-02,105.38750412094049,86.3355111291063,114.59518545380331,99.72669900397845,104.7218495194147,107.93078853100621,52.41956041160347,111.25824906457235,94.70248690265525
2012-08-03,107.39411232821404,88.55768165944583,116.08660036623775,101.63991253581226,106.81711248483892,109.87607897645171,55.16609685811652,113.57609696481781,98.94776802403945
2012-08-06,107.64426213347191,89.7499526827458,117.37816311435549,102.3231814196635,107.06529484765157,109.41781584011771,57.337162310249134,115.97681893790957,102.57623827052373
2012-08-07,108.19397533109365,88.99842462719947,117.06890606930291,103.38227810831316,106.68554061804458,110.61959263100746,54.19826566561882,117.13575365089888,109.76055667462073
2012-08-08,108.26114501167811,88.88561898288233,116.87096045650279,103.6214390213034,106.96702017938051,109.60018458960432,54.19826566561882,117.79797130727391,105.55152496005557
2012-08-09,108.30593108185313,89.4086909600735,117.53742611588271,104.20223027776994,106.98701128052845,109.45054892128442,54.956842436365015,121.77149250285619,106.71266736072786
2012-08-10,108.5429523105635,90.09485303048179,117.72115053309398,103.92890469105234,106.9287060325193,108.83796759139553,57.04942681305892,121.02645458796786,108.63572856246932
2012-08-13,108.40706730219156,90.60573226841889,119.292772509014,103.82645985126236,109.92838098539512,108.69300552921499,56.50012956355105,122.59928609905819,113.09872023438385
2012-08-14,108.3931753267206,89.57725352265832,119.61276140065347,103.62007013922268,111.36908238161504,109.04372220977017,53.30891554855983,120.77813372969383,106.7489167675469
2012-08-15,108.51670458214653,90.55428513569512,119.44993710478403,103.8608294474569,111.18255415971483,111.0217457363824,55.453827335409365,119.86747682351213,106.67636604854734
2012-08-16,109.28722856220317,90.28173929125875,120.49330041993895,105.85549556154331,112.07027920180288,112.95300644431421,51.97488284312529,122.35097600365077,109.94196591297055
2012-08-17,109.49182889836257,89.9961075504748,122.72196321566653,106.26818481973707,112.78147157256468,112.77531130096693,49.82997105627576,121.27481849770831,108.88974042518018
2012-08-20,109.48951042755806,91.16410099687113,125.94855584418295,105.71795160157565,112.51499172810671,112.39186153924506,52.34109439585686,121.27481849770831,107.07547286108712
2012-08-21,109.10656690833427,89.93147968845041,124.22729955143879,105.9242839353245,111.51065619000033,111.97100509021709,50.117711573363344,120.943677380921,105.6241340725868
2012-08-22,109.13126898954822,90.77596662403026,126.65296067965323,105.03012524205442,112.78811823023536,113.67780783612125,50.85010957933963,121.19199823919502,108.67202987464985
2012-08-23,108.25033490593512,90.32597971616264,125.47133041143321,104.06715358430706,112.72484716202418,112.78934103848064,50.85010957933963,118.46023201511538,111.50221512618259
2012-08-24,108.9490616884763,90.73128626854577,125.58312147928731,105.09888082824088,113.0296347623264,114.91231770817771,50.77163854369565,120.8608894110075,107.03922994243824
2012-08-27,108.89578398336282,90.5517422602319,127.94247298557393,105.54597247022394,111.46236566561612,114.06125759784315,50.09155288818289,118.79134084330289,102.75764102070337
2012-08-28,108.8077763395719,90.97754864013768,127.77577563222118,105.33964833337377,112.79978822726098,115.08533924538564,50.588542807124604,118.29467760102162,104.10018617155528
2012-08-29,108.89964810137033,91.01316477787516,127.5240029140261,105.40838752576285,114.59193164781765,115.55763211923333,49.96075946228064,118.54303074789544,103.08420360241375
2012-08-30,108.04959868778323,90.27752590122402,125.70617199289012,104.27349411495462,113.53763113887538,115.13677567020537,49.934600777100194,116.30790624036386,103.08420360241375
2012-08-31,108.59776623820194,89.90750118479328,125.96560688982153,105.99309689980177,114.10560081886823,116.09539115541443,47.24038170094805,116.1423518262701,103.48331041495351
2012-09-04,108.47114568837,89.3910978563154,127.808031126432,104.51424522629014,113.43104175749899,115.91302240592785,46.37718524917214,109.93372764888947,102.10452234545275
2012-09-05,108.35533524428105,89.96177904423264,126.9104290706179,104.51424522629014,113.3777406757938,115.13677567020537,48.60057811146039,110.26487952854337,101.37884646303242
2012-09-06,110.56963508212006,91.96383172196809,128.05416812630773,107.81575109494173,116.48900278533303,117.54968538335923,49.594552929446444,113.65886340899809,103.59216244613359
2012-09-07,111.01743923580187,92.37079929994542,128.84374425374065,106.44013936039272,117.6132465842251,121.17839270582084,49.64687029980735,110.92716176211806,106.49495681019754
2012-09-10,110.33492289953612,91.17243129620103,125.492218541885,105.64913863709837,116.71720043801474,120.21977722061179,49.20219273132917,109.93372764888947,99.31063191793037
2012-09-11,110.68081800927803,91.5113755208267,125.08510384320617,105.8898897484339,115.28814347475247,119.55575946590315,50.82396093395391,111.25824906457235,100.87082922578092
2012-09-12,110.91243889745593,93.18990376096517,126.82711636661163,105.85549556154331,115.06995415467871,119.53705612225012,54.74758299471616,112.49997174747517,102.61248118917258
2012-09-13,112.72139275630553,94.13938910009986,129.32471084418324,106.40576156729948,117.5949427115628,121.69277479220959,54.172106980438365,113.24500966236349,106.96662082990704
2012-09-14,113.16765126278435,96.00255039505159,130.8963687927734,107.33430625056148,118.2011945833319,122.17442379743164,57.54643179169273,114.56954184091299,110.26852849468094
2012-09-17,112.81403734170546,95.77141206122491,132.50586999033354,107.33430625056148,118.25117233620175,120.64530727577906,56.290865102004815,111.42384653013254,118.06967075001819
2012-09-18,112.66966069839503,96.29940481182352,132.90921954953942,107.23117287128181,119.63358765746348,120.99602395633424,57.20637892414162,112.16886291928765,113.71553759745395
2012-09-19,112.80323666064054,97.89422333950303,132.94520421055307,106.78407303240004,121.16922122006815,122.3661397591969,60.920741543255,113.49333052063753,112.6632991333232
2012-09-20,112.74224014419003,97.40002532596684,132.30136536068088,108.15968476694906,121.27248727260923,121.95931304768264,59.08971389898139,112.66552616156893,112.11903248925267
2012-09-21,112.73374850925155,97.4226675031971,132.56457738797528,107.26552607367896,122.25017226986299,120.39747236395904,59.795968279469335,113.16225398104982,108.92598334382903
2012-09-24,112.48205305679066,95.15946271429615,130.80352333118438,105.85549556154331,124.81344301852334,119.1489327543889,54.381376461881956,113.07948753686954,111.24820326347174
2012-09-25,111.30078275721218,93.57059911650228,127.53724085663158,104.51424522629014,124.77682249116472,118.05471133837364,53.04734375644743,111.00990668056512,100.3628638938909
2012-09-26,110.66227966751998,93.44110190650353,125.95423952606247,103.75764688678508,125.49299985517956,116.75005277874872,53.936698893403786,109.10593405268747,99.92744928100045
2012-09-27,111.73005799381401,94.0770802134479,129.01035767086313,103.72325269989449,125.9993345673109,119.98597204630545,53.151978497169225,109.93372764888947,103.37445838377346
2012-09-28,111.22975838329828,94.52915603160295,126.31777933033158,102.34763276844679,125.66622197970443,118.92447479236121,56.657076654736386,110.43042317977054,106.24095143565688
2012-10-01,111.52468483405309,94.46440785275524,124.85786448603537,101.4190798882861,126.87875128731059,117.84428311385966,57.52026808661491,108.60923852180638,105.80553682276641
2012-10-02,111.62196636106205,94.77557403378708,125.22140429030448,102.00370729333814,126.08093507225236,117.18493896529037,58.25268617218067,109.02317837137379,108.1277632305793
2012-10-03,112.02653009177186,95.15191937506202,127.14146953993173,102.69151725906201,126.99867233013029,119.67266205305631,57.101744183419825,107.94697781396492,106.31350215465645
2012-10-04,112.830257212659,95.62918337102282,126.26094251153629,103.27617745170879,127.92305624567888,121.8003301670841,57.41564338568785,112.74830336861581,106.67636604854734
2012-10-05,112.79397220210055,93.95621794440746,123.57027072252127,102.65713126907008,127.85644906659837,120.88379497532043,54.695260604457886,110.09935740304944,104.82585556580541
2012-10-08,112.4040732704632,92.81941817570146,120.83977718767945,102.416421142228,126.22254722673961,121.1409860185148,53.361232918920734,109.02317837137379,106.1320994044768
2012-10-09,111.2922911222737,91.43640126430145,120.40049093102007,100.6968511449756,123.93237741613996,117.35328689635895,52.91655535044255,106.70526589392873,102.93904377088299
2012-10-10,110.60361104655207,90.51751307574044,121.35862299976216,99.66510750724441,124.01066737428006,114.56160994671822,51.37326320335915,104.88408123596456,103.04789580206307
2012-10-11,110.62522183336002,90.35473674379759,118.93299784421782,99.56196593106606,125.16322337844241,114.20154605388436,51.660993680652,105.46354321102591,102.75764102070337
2012-10-12,110.29709224177466,90.08003323660337,119.23781825995519,100.42172224054684,124.04229012635169,113.33177368080109,51.05937906078323,104.55296164491044,100.29031317489134
2012-10-15,111.18806360752926,90.44275067341859,120.19410373163093,101.48784367137125,123.41437270698299,114.18283379113565,51.05937906078323,105.87747229772673,99.16547857456978
2012-10-16,112.32995760214324,90.95232639860792,123.04009351934961,101.4190798882861,124.03396902222936,114.07060481012181,50.954739300164064,108.94037963859371,101.81426107592289
2012-10-17,112.79242655489752,91.72981493243809,122.05921473219937,101.76295618200261,125.83111021807301,115.73065365644123,52.00104152830575,108.1125968052583,104.57184370309459
2012-10-18,112.51679242014612,88.851837740623,119.79267271483162,101.4534822720754,115.75614486697161,114.4961437843848,49.64687029980735,106.45691274705487,101.74165845156185
2012-10-19,110.65224238537847,86.98045944586707,115.47542470083778,98.49581990954557,113.55594779357168,112.22819613341149,49.69918265027088,100.24832085827404,100.65312516342078
2012-10-22,110.70088314888295,87.12351580785509,120.05588474212601,96.29479687101426,113.03633254813299,109.31961659661758,50.5362254367637,99.08940767101791,101.05229036949221
2012-10-23,109.10192996672524,86.8459408054349,116.14189036021773,96.4667432147712,113.3161184899663,109.56745150843761,51.00705667052496,102.06950551623821,103.0116528834142
2012-10-24,108.7653087402014,89.95030241025562,116.79894317091532,95.95088778970299,112.80812211341728,106.8459232463653,60.7637894321723,100.74504867775494,99.49203466810998
2012-10-25,109.09111986098223,88.84293722193995,115.41861186382259,95.88214040041521,112.88472484307177,104.24128865235052,59.01123784344004,100.8277720704688,99.8548985620009
2012-10-26,109.01159442745174,89.00482764136777,114.36955287589808,97.01699282673002,112.45004621344385,111.4051865790086,57.38947968061004,99.75163609025955,99.3468813247494
2012-10-31,109.0285871220068,88.1341257013128,112.7259735688408,98.15192722203169,113.30779738584398,108.90343375372898,55.218419248374786,99.17217411519819,102.06821454510207
2012-11-01,110.2198852790487,89.23210268296695,112.95696607459449,101.52222966136317,114.5219883578678,108.55272599226946,55.47998100069245,103.89066864846916,106.1320994044768
2012-11-02,109.18608291718668,88.62052536645169,109.21914184917152,101.4534822720754,114.57696388602466,108.68365831693632,55.40150996504847,103.39398388045468,104.93470759698549
2012-11-05,109.42234074697359,89.15961647038921,110.69992084213939,101.90050833886897,113.75084824773015,109.57680763981195,55.58461574141425,107.78141263700456,114.29609906553479
2012-11-06,110.28165461910069,89.31056766151406,110.36472750192769,102.69151725906201,113.54430336061402,111.08721189871582,55.37535127986801,107.69861390422449,113.02616951538428
2012-11-07,107.66742799216094,86.81996887787601,106.14190774700829,100.009008391657,111.11258530569702,108.51531038586772,53.54433367538915,104.38736417935026,114.44126538523575
2012-11-08,106.35336397861654,84.98619071260224,102.28997821195324,99.08047190529369,108.6425722769698,106.31283781632352,52.28877702549596,104.96683691727821,113.6066790781037
2012-11-09,106.53402563248544,84.66225052142974,104.06096072569827,99.1492520821762,110.43139236869112,105.82651520496216,50.24849495947086,100.91056004038228,110.01451663197011
2012-11-12,106.54792703263445,85.00706399104396,103.2562760768134,97.0513952105193,110.90937652945026,105.90132857957425,52.498026427350084,98.6754785843171,112.73584985232277
2012-11-13,106.12328873764166,83.9941599526515,103.26960994653922,93.9307621082948,109.76847774027956,105.96212113576836,51.948734197739576,97.93046219516198,114.69521236624476
2012-11-14,104.65326515144233,85.64792738829541,102.12450392938467,93.0639482690445,108.68587780810101,104.25531838986419,58.48810429900999,95.52976174780343,113.86069094081452
2012-11-15,104.48649547304439,84.73283206329485,99.98257124132512,92.43982820611856,107.80481220571762,103.15641444861392,57.99109932037617,95.94368007163764,111.82877770789297
2012-11-16,104.99220484877068,86.28056293307996,100.37449947776676,91.9544242596725,107.79148054427435,105.32148924994775,61.62699090384557,94.20527262072035,115.52979867337683
2012-11-19,107.0775656659732,87.72063189451247,107.6122786474204,92.68253017934158,111.29414131637823,107.41641536371314,59.95291035075729,96.85429392635292,119.44852370122081
2012-11-20,107.14859946456518,87.97456766683015,106.69546718576028,92.61314343195623,111.5872844837228,109.31961659661758,60.42374660441593,95.72955284056266,119.7387784825805
2012-11-21,107.39720362262007,89.41683338333432,106.84570104708648,93.445325374254,110.90440431823123,111.30698733550845,63.614955599509784,98.4789163515389,117.81571079266884
2012-11-23,108.79619341022739,90.09125332727119,108.70984078556158,96.04583246719437,111.25415911408234,112.1720861024524,62.77791783291432,99.1454499174219,116.58202416116718
2012-11-26,108.57538262779252,92.24112654386609,112.1394991369257,94.97097314236964,110.11825810019862,113.92096914180195,67.85247184264269,100.89508303820655,117.08999598122737
2012-11-27,108.00790391201423,92.274130315007,111.23592561787108,93.89609742374752,111.71051607334381,113.81809629216247,68.40177411204792,101.31168131582501,116.65457488016675
2012-11-28,108.85641710307638,93.19010271697782,110.88591153756843,94.86696269493045,113.86908206206418,115.552958513094,68.95107638145316,102.14479176812912,120.57329990801074
2012-11-29,109.3211951019571,94.38692469926043,112.10718368826468,93.445325374254,115.2381785039166,117.49824895853949,71.46219972103425,100.31187558556721,122.24240764057302
2012-11-30,109.33896062011365,94.85711849798835,111.33106133945796,92.30113668033472,116.31745510725979,117.86298645751268,73.24089995515224,99.72864660719465,122.714123565644
2012-12-03,108.82012266783985,93.71778187676281,111.50417381898276,91.64231094836806,115.79780151571914,117.05868916585854,70.72978665536588,97.89568737316634,125.61686602434648
2012-12-04,108.63406067343848,93.73621810740764,109.53727215285458,91.43426546279362,115.09494303111364,118.06874107588732,71.82839621407372,100.81177845069611,123.00437834700368
2012-12-05,108.8062306923689,93.11373664907744,102.48785187941314,92.47447649686845,114.56030889574602,118.75613578038833,72.48233322420077,99.64534201968421,122.31495835957259
2012-12-06,109.16600835290369,92.76531242471916,104.0951347623157,92.68253017934158,115.11158523935829,118.48024139354092,70.54668087900009,99.81199424617151,123.00437834700368
2012-12-07,109.48487348594902,92.49479327242543,101.43400852636218,91.74632959270595,113.95901645316195,118.4334785748605,71.90687226961508,99.64534201968421,123.98406609213488
2012-12-10,109.52194074478707,92.89738827851183,100.78153623566033,93.41069347730148,114.1605635649911,115.86158598110812,72.82238609175188,102.97798832336602,125.43545678599666
2012-12-11,110.2391870197302,94.11821717456333,102.9823801664923,94.72826297224792,116.06927913546411,117.22702817783141,73.18859262458606,105.39413348430047,128.01163666298874
2012-12-12,110.28860060683616,93.67175604679548,102.52775756147025,94.45088811757894,116.18254073857916,117.72738052670648,72.14229039644438,104.31101240366563,127.9390859439892
2012-12-13,109.59141947149797,93.92137376622672,100.75681102039536,94.0001242649841,117.03864302859559,117.48889282716515,73.86868831989356,104.39431699117607,121.95215285921333
2012-12-14,109.13821497728368,91.66009518290313,96.97145490684908,92.95990503401057,116.91538587490658,116.52560373581676,70.12816199570237,104.89420909343836,122.6778157652933
2012-12-17,110.43375007374812,92.79193514270814,98.69102647954243,93.96545958043683,120.04997519646305,118.70937296170791,69.9712199244144,104.47763234155312,124.81858751756509
2012-12-18,111.70226461819404,94.82106092393433,101.55759863001683,95.56042032384963,120.09826572084728,121.76759708591737,72.48233322420077,104.64429533090703,125.50800750499621
2012-12-19,110.85453367541145,93.99126647652209,100.1138834781663,94.69359009080196,119.9383752577657,120.64063366963973,71.69762286776094,105.39413348430047,125.58055822399577
2012-12-20,111.4629154940011,94.3053187271672,99.24267936677789,95.97652768879588,120.31311893005171,122.28197025321046,71.56682944185869,105.31080737105682,124.92743306057498
2012-12-21,110.41753962747262,92.6055514283981,98.78618018746438,95.17904321864013,119.19221124202896,120.14028132076466,68.68950458934077,102.89464068438916,123.36723575272441
2012-12-24,110.14808808153327,92.91598317963083,98.94589884281316,93.82677625155166,118.17120793160998,120.93523140014015,70.44205617807303,102.06147641775205,124.38316641650444
