,Total Return,CAGR,Volatility,Sharpe Ratio,Max Drawdown
S&P 500 (Full),428.93871904676536,13.17732042367723,16.945981010073197,0.7776074112112032,-33.92496000265329
Tech Giants (Weighted),7414.022981304995,37.849205886049184,26.386110659070393,1.4344367146447283,-45.08593164596553
S&P 500 Ex-Tech,-84.1584335586227,-12.796581865825473,19.70140638711587,-0.6495263137251996,-89.19177761525451
