Date,SP500,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,Tech_Giants
2012-05-21,0.016035901237667627,0.05826043721542984,0.0163991253581226,0.022834784158100474,0.019920532641259037,-0.1098614578605217,0.017384074509172898,0.043904409529149646,-0.021227035755444157
2012-05-22,0.0004863370186602989,-0.007678966163758627,0.000335973133762435,-0.02167367094892314,-0.01274585610139034,-0.08903900620148442,-0.012205476431978779,0.07055946946271918,-0.033802789766358865
2012-05-23,0.0016937032123527374,0.02439948726650143,-0.02184139961030207,0.014414155721778954,0.009055853167555528,0.03225801858537314,0.024712260407102615,0.007143037117946172,0.012287741543122621
2012-05-24,0.001380031526917458,-0.009183575767175212,-0.001374345619859496,-0.009516545726601766,-0.009388828562474694,0.032187320664708974,-0.02652763935478908,-0.023855461162963776,0.005294502414986857
2012-05-25,-0.002165632329979128,-0.005360071215621098,-0.0003438322956740292,-0.020094175397004865,-0.010918073244703619,-0.033908410883935036,0.023946678845819136,-0.015522086411052571,-0.01639978189228708
2012-05-29,0.011078977592776207,0.01774885581097596,0.017205783983528677,0.004750385351342645,0.008736945269423257,-0.0962081189949725,0.025806822312718136,0.06306644165260322,-0.02073435086619191
2012-05-30,-0.014334892170861036,0.012057335019570292,-0.007442409894448332,-0.010280306072044665,-0.025704309009124682,-0.022538061567533796,-0.011792158002324582,-0.04039162783055239,-0.011626974596879336
2012-05-31,-0.0022766655169013106,-0.0024862641646341554,-0.005112229535401802,-0.012529125459619483,0.01758830113336063,0.05001775122752372,-0.011137885349143173,-0.02992402552858897,0.01223498480795926
2012-06-01,-0.024642584749729912,-0.02897571320031256,-0.025351307873146323,-0.017009219082488758,-0.02202808015612112,-0.06351355258955582,-0.036202560959524566,-0.04576271977516244,-0.036379861233156285
2012-06-04,0.00010955419561042845,0.00588245763817663,0.0035148541570388936,0.013327799376502414,0.030496600399845253,-0.029581592469623996,-0.020868129828776838,-0.009591475982656972,-0.001638563890231426
2012-06-05,0.005726850663809513,-0.0025867640001614456,-0.001400966869667175,-0.014137678289429578,-0.006338331652688156,-0.03828989445339548,0.028985796394482177,0.0010760261163218487,-0.014539433262368173
2012-06-06,0.023049400920118535,0.015332698298626823,0.02946309373213829,0.01781183629416927,0.020777675118962113,0.036335436141329724,0.026511725354028126,0.04693637518142468,0.02634165238609132
2012-06-07,-0.00010646449242102118,0.000455061279693858,-0.0040883417965896784,-0.004030686754734392,0.005329866850168452,-0.018649768980602,-0.04035526222037633,-0.009924540762724088,-0.006502022748084535
2012-06-08,0.008114163624478143,0.015042784558136235,0.014368799178925862,0.0038393567378633975,-0.0014625040786141463,0.03002676756798084,0.019344201561803942,0.039750770621190146,0.015929635874772696
2012-06-11,-0.012620113782869202,-0.015767367655307063,-0.025295271449055412,-0.020587494704022546,-0.009062612508952683,-0.003321116908796329,0.011550991904071717,-0.03191484555419011,-0.014830020634785002
2012-06-12,0.011650737147309576,0.00873617616478084,0.013494894947647662,-0.005980647855482801,-0.0003694882358874496,0.014439059118937392,0.020391429245290915,0.01854390416947238,0.008504904518275902
2012-06-13,-0.007023250955987548,-0.006942321137598406,-0.005462697587522269,-0.007096008341678561,-0.007808918956720312,-0.004744396662883066,-0.026379005796341115,0.0037090333790696928,-0.005907217037145696
2012-06-14,0.010814652782245693,-0.0011009700095991892,0.007209146372299191,-0.0036358329476835483,-0.0013039574575884894,0.03740372094175437,-0.012315284344822874,-0.01276486247216202,0.011321161445861927
2012-06-15,0.010337815429059649,0.004549386109951037,0.023176879772859538,0.009766465806559266,0.018186029153572925,0.06079878121457005,0.02161304797798369,0.017693274234068967,0.02828503732356369
2012-06-18,0.0014447466011910937,0.02029123827164958,-0.005996480753918232,0.011231042640739819,0.019739028224393218,0.04665111684860768,0.00894969534707668,0.06452714085899092,0.021419429470199258
2012-06-19,0.009815695418065262,0.0027826114901117194,0.028820623496610187,0.018708985806280998,0.00615283956025614,0.015918506202851734,0.06774227946353495,0.0078514128376026,0.0159561165087565
2012-06-20,-0.0016863570122068738,-0.002842990160021208,0.007491544073974454,-0.006912811997841217,-0.004508317310344734,-0.009714794612259214,0.015861102619625367,0.052664584348646404,-0.0020452432001573095
2012-06-21,-0.022261677039013494,-0.013777527667051426,-0.02554155335016084,-0.021298397626964505,-0.010985599440880511,0.007594926100114252,-0.04535326169174969,-0.04706935195990758,-0.011608369825765519
2012-06-22,0.007174604262178752,0.00766884099854126,0.018580284513691314,0.011093303013100408,0.00720861415642382,0.038002595495607805,0.012460829545349883,0.04970505420745486,0.021168559355673855
